,Country,Cases,Population Density,MCV1,MCV2,SHP per 10k
0,Afghanistan,2012.0,56.93776001,64,39.0,6.37
1,Albania,1469.0,104.6122628,94,96.0,
2,Algeria,3356.0,17.73006763,80,77.0,31.16
3,Andorra,0.0,163.8425532,99,95.0,81.31
4,Angola,57.0,24.71305206,50,35.0,15.86
5,Antigua and Barbuda,1.0,218.83181820000000,96,95.0,
6,Argentina,14.0,16.2585101,94,99.0,81.19
7,Armenia,19.0,103.6802248,95,96.0,82.25
8,Australia,103.0,3.24787091,95,93.0,162.40
9,Austria,77.0,107.13185890000000,94,84.0,135.09
10,Azerbaijan,55.0,120.2575919,96,96.0,102.73
11,Bahrain,0.0,2012.101282,99,99.0,34.07
12,Bangladesh,2263.0,1239.5793120000000,97,93.0,7.38
13,Barbados,0.0,666.6069767000000,85,74.0,65.69
14,Belarus,259.0,46.72134693,98,98.0,154.90
15,Belgium,117.0,377.3795905,96,85.0,141.70
16,Belize,0.0,16.79399386,97,91.0,25.83
17,Bhutan,18.0,19.77960147,97,91.0,18.93
18,Bosnia and Herzegovina,62.0,64.92048828,68,76.0,77.61
19,Botswana,0.0,3.977424876,97,74.0,31.11
20,Brazil,10330.0,25.06171624,92,76.0,92.96
21,Brunei Darussalam,1.0,81.39696395,99,98.0,82.59
22,Bulgaria,13.0,64.71109985,93,87.0,93.18
23,Burkina Faso,4072.0,72.19128289,88,71.0,6.78
24,Burundi,9.0,435.178271,88,77.0,
25,Cabo Verde,0.0,134.9297767,99,88.0,20.44
26,Cambodia,3.0,92.05641287,84,70.0,10.94
27,Canada,28.0,4.133332553,90,87.0,123.82
28,Chile,24.0,25.18944713,93,93.0,11.78
29,China,3940.0,147.7744195,99,99.0,59.67
30,Colombia,208.0,44.75985219,95,88.0,29.01
31,Costa Rica,0.0,97.91306306,94,93.0,19.45
32,Croatia,23.0,72.23613713,93,95.0,96.38
33,Cuba,0.0,109.23061660000000,99,99.0,154.96
34,Cyprus,15.0,128.7083333,90,88.0,66.14
35,Denmark,8.0,144.8409,95,90.0,206.69
36,Djibouti,28.0,41.36842105,86,81.0,7.86
37,Dominica,0.0,95.5,84,81.0,
38,Dominican Republic,0.0,219.9785759,95,31.0,28.28
39,Ecuador,19.0,68.78868175,83,74.0,37.50
40,El Salvador,0.0,309.8814672,81,85.0,24.10
41,Eritrea,70.0,34.186,99,88.0,
42,Estonia,10.0,30.41124914,87,88.0,92.9
43,Eswatini,0.0,66.05761628,85,75.0,15.33
44,Ethiopia,1752.0,96.71878268,55,,2.77
45,Fiji,0.0,48.35703339,96,94.0,37.75
46,Finland,15.0,18.14795012,96,93.0,182.27
47,France,2921.0,122.2994355,90,83.0,137.98
48,Georgia,2199.0,65.19733021,98,96.0,87.47
49,Germany,543.0,237.29401230000000,97,93.0,179.84
50,Ghana,34.0,130.8214292,92,83.0,10.21
51,Greece,2291.0,83.26518231,97,83.0,96.47
52,Grenada,0.0,327.8058824,84,74.0,45.23
53,Guatemala,1.0,152.5471258,87,76.0,17.61
54,Guyana,0.0,3.957348235,98,84.0,7.43
55,Haiti,0.0,403.5985486,69,38.0,
56,Honduras,0.0,85.68703191,89,94.0,15.23
57,Hungary,14.0,107.11772960000000,99,99.0,97.26
58,Iceland,0.0,3.4981751460000000,93,95.0,190.76
59,India,19474.0,454.9380726,93,82.0,28.52
60,Indonesia,5300.0,142.5623043,89,67.0,15.54
61,Iraq,489.0,88.53057163,83,81.0,26.64
62,Israel,3177.0,410.4805915,98,96.0,86.47
63,Italy,2682.0,202.941457,93,89.0,97.39
64,Jamaica,0.0,270.9930748,89,82.0,21.37
65,Japan,279.0,347.1305898,97,93.0,136.08
66,Jordan,0.0,112.1424983,92,96.0,65.40
